CLAVE,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,CUENCA,CUERPO DE AGUA,TIPO,SUBTIPO,LONGITUD,LATITUD,PERIODO,DBO_mg/L,CALIDAD_DBO,DQO_mg/L,CALIDAD_DQO,SST_mg/L,CALIDAD_SST,COLI_FEC_NMP_100mL,CALIDAD_COLI_FEC,E_COLI_NMP_100mL,CALIDAD_E_COLI,ENTEROC_NMP_100mL,CALIDAD_ENTEROC,OD_PORC,CALIDAD_OD_PORC,OD_PORC_SUP,CALIDAD_OD_PORC_SUP,OD_PORC_MED,CALIDAD_OD_PORC_MED,OD_PORC_FON,CALIDAD_OD_PORC_FON,TOX_D_48_UT,CALIDAD_TOX_D_48,TOX_V_15_UT,CALIDAD_TOX_V_15,TOX_D_48_SUP_UT,CALIDAD TOX_D_48_SUP,TOX_D_48_FON_UT,CALIDAD_TOX_D_48_FON,TOX_FIS_SUP_15_UT,CALIDAD_TOX_FIS_SUP_15,TOX_FIS_FON_15_UT,CALIDAD_TOX_FIS_FON_15,SEMAFORO,CONTAMINANTES,CUMPLE_CON_DBO,CUMPLE_CON_DQO,CUMPLE_CON_SST,CUMPLE_CON_CF,CUMPLE_CON_E_COLI,CUMPLE_CON_ENTEROC,CUMPLE_CON_OD,CUMPLE_CON_TOX,GRUPO
DLCHI295,PLANTA SUR,RÍO BRAVO,CHIHUAHUA,JUÁREZ,RÍO BRAVO 1,CANAL,LÓTICO,CANAL,-106.3323,31.64078,2022,22.1,Aceptable,31.26,Aceptable,17.5,Excelente,24196,Fuertemente contaminada,24196,Fuertemente contaminada,,,67.4,Buena calidad,,,,,,,4.83,Toxicidad moderada,1.03,Toxicidad baja,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
DLCHI381,RH24-8 BRAVO CONCHOS,RÍO BRAVO,CHIHUAHUA,COYAME DEL SOTOL,RÍO CONCHOS 4,RIO SAN JUAN,LÓTICO (HUMEDAL),RÍO,-104.865906,29.554386,2022,5.2,Buena calidad,19.78,Buena calidad,266.7,Contaminada,935,Aceptable,75,Excelente,,,108.3,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"SST,",SI,SI,NO,SI,SI,ND,SI,SI,LOTICO
DLCHI384,PUENTE PRESIDIO-OJINAGA,RÍO BRAVO,CHIHUAHUA,OJINAGA,RÍO BRAVO 3,RIO BRAVO,LÓTICO,RÍO,-104.39498,29.55618,2022,<2,Excelente,14.62,Buena calidad,735,Fuertemente contaminada,598,Aceptable,41,Excelente,,,97,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"SST,",SI,SI,NO,SI,SI,ND,SI,SI,LOTICO
DLCHI385,RIO BRAVO 18,RÍO BRAVO,CHIHUAHUA,OJINAGA,RÍO BRAVO 3,RIO BRAVO,LÓTICO,RÍO,-104.37767,29.54219,2022,4,Buena calidad,<10,Excelente,116.2,Aceptable,242,Aceptable,10,Excelente,,,97,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LOTICO
DLCHI419,RH24-5 BRAVO CONCHOS,RÍO BRAVO,CHIHUAHUA,ROSALES,RÍO SAN PEDRO,RIO SAN PEDRO,LÓTICO (HUMEDAL),RÍO,-105.77412,28.05082,2022,4.3,Buena calidad,73.13,Contaminada,1337.5,Fuertemente contaminada,24196,Fuertemente contaminada,3448,Fuertemente contaminada,,,106,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,SST,CF,E_COLI,",SI,NO,NO,NO,NO,ND,SI,SI,LOTICO
DLCHI427,RIO SAN PEDRO-PUENTE MEOQUI,RÍO BRAVO,CHIHUAHUA,MEOQUI,RÍO CONCHOS 2,RIO SAN PEDRO,LÓTICO (HUMEDAL),RÍO,-105.47205,28.26253,2022,<2,Excelente,<10,Excelente,17.4,Excelente,4884,Contaminada,20,Excelente,,,138.1,Contaminada,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,OD%L,",SI,SI,SI,NO,SI,ND,NO,SI,LOTICO
DLCOA431,"PRESA VENUSTIANO CARRANZA, ENTRADA RÍO SABINES",RÍO BRAVO,COAHUILA DE ZARAGOZA,PROGRESO,RÍO SALADO,PRESA VENUSTIANO CARRANZA,LÉNTICO (HUMEDAL),PRESA,-100.67499,27.51147,2022,3.67,Buena calidad,<10,Excelente,44,Buena calidad,210,Aceptable,28,Excelente,,,,,66,Buena calidad,,,,,,,,,<1,No Toxico,,,<1,No Toxico,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLCOA432,"PRESA VENUSTIANO CARRANZA, CENTRO",RÍO BRAVO,COAHUILA DE ZARAGOZA,PROGRESO,RÍO SALADO,PRESA VENUSTIANO CARRANZA,LÉNTICO (HUMEDAL),PRESA,-100.64442,27.49669,2022,4.69,Buena calidad,18.06,Buena calidad,23,Excelente,2400,Contaminada,2400,Fuertemente contaminada,,,,,76,Excelente,,,,,,,,,<1,No Toxico,,,<1,No Toxico,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LENTICO
DLCOA433,"PRESA VENUSTIANO CARRANZA, ENTRADA RÍO SALADO",RÍO BRAVO,COAHUILA DE ZARAGOZA,PROGRESO,RÍO SALADO,PRESA VENUSTIANO CARRANZA,LÉNTICO (HUMEDAL),PRESA,-100.70438,27.48473,2022,5.68,Buena calidad,22.72,Aceptable,126,Aceptable,1100,Contaminada,1100,Fuertemente contaminada,,,,,59,Buena calidad,,,,,,,,,<1,No Toxico,,,<1,No Toxico,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LENTICO
DLCOA434,"PRESA VENUSTIANO CARRANZA, SURESTE",RÍO BRAVO,COAHUILA DE ZARAGOZA,JUÁREZ,RÍO SALADO,PRESA VENUSTIANO CARRANZA,LÉNTICO (HUMEDAL),PRESA,-100.61208,27.44855,2022,4.48,Buena calidad,21.44,Aceptable,,,2400,Contaminada,2400,Fuertemente contaminada,,,,,94,Excelente,,,,,,,,,<1,No Toxico,,,<1,No Toxico,,,Amarillo,"CF,E_COLI,",SI,SI,ND,NO,NO,ND,SI,SI,LENTICO
DLCOA435,"PRESA VENUSTIANO CARRANZA, SUROESTE",RÍO BRAVO,COAHUILA DE ZARAGOZA,JUÁREZ,RÍO SALADO,PRESA VENUSTIANO CARRANZA,LÉNTICO (HUMEDAL),PRESA,-100.69417,27.45079,2022,5.53,Buena calidad,43.13,Contaminada,173,Contaminada,2400,Contaminada,460,Buena calidad,,,,,96,Excelente,,,,,,,,,<1,No Toxico,,,<1,No Toxico,,,Rojo,"DQO,SST,CF,",SI,NO,NO,NO,SI,ND,SI,SI,LENTICO
