CLAVE,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,CUENCA,CUERPO DE AGUA,TIPO,SUBTIPO,LONGITUD,LATITUD,PERIODO,DBO_mg/L,CALIDAD_DBO,DQO_mg/L,CALIDAD_DQO,SST_mg/L,CALIDAD_SST,COLI_FEC_NMP_100mL,CALIDAD_COLI_FEC,E_COLI_NMP_100mL,CALIDAD_E_COLI,ENTEROC_NMP_100mL,CALIDAD_ENTEROC,OD_PORC,CALIDAD_OD_PORC,OD_PORC_SUP,CALIDAD_OD_PORC_SUP,OD_PORC_MED,CALIDAD_OD_PORC_MED,OD_PORC_FON,CALIDAD_OD_PORC_FON,TOX_D_48_UT,CALIDAD_TOX_D_48,TOX_V_15_UT,CALIDAD_TOX_V_15,TOX_D_48_SUP_UT,CALIDAD TOX_D_48_SUP,TOX_D_48_FON_UT,CALIDAD_TOX_D_48_FON,TOX_FIS_SUP_15_UT,CALIDAD_TOX_FIS_SUP_15,TOX_FIS_FON_15_UT,CALIDAD_TOX_FIS_FON_15,SEMAFORO,CONTAMINANTES,CUMPLE_CON_DBO,CUMPLE_CON_DQO,CUMPLE_CON_SST,CUMPLE_CON_CF,CUMPLE_CON_E_COLI,CUMPLE_CON_ENTEROC,CUMPLE_CON_OD,CUMPLE_CON_TOX,GRUPO
DLMIC1548,RIO BALSAS CORRIENTE IZQ PUENTE,BALSAS,MICHOACÁN DE OCAMPO,LÁZARO CÁRDENAS,RÍO BAJO BALSAS,RIO BALSAS CORRIENTE IZQ PUENTE,LÓTICO - COSTERO (HUMEDAL),RÍO,-102.19769,17.97331,2022,<2,Excelente,45.79,Contaminada,<10,Excelente,24000,Fuertemente contaminada,4600,Fuertemente contaminada,,,62.2,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,CF,E_COLI,",SI,NO,SI,NO,NO,ND,SI,SI,COSTERO
DLMIC1549,RIO BALSAS 5,BALSAS,MICHOACÁN DE OCAMPO,LÁZARO CÁRDENAS,RÍO BAJO BALSAS,RIO BALSAS,LÓTICO,RÍO,-102.208284,18.008483,2022,<2,Excelente,41.21,Contaminada,<10,Excelente,230,Aceptable,30,Excelente,,,65.8,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,",SI,NO,SI,SI,SI,ND,SI,SI,LOTICO
DLMIC1552,RIO BALSAS 7,BALSAS,MICHOACÁN DE OCAMPO,LÁZARO CÁRDENAS,RÍO BAJO BALSAS,RIO BALSAS,LÓTICO (HUMEDAL),RÍO,-102.20451,18.0158,2022,<2,Excelente,39.13,Aceptable,<10,Excelente,24000,Fuertemente contaminada,11000,Fuertemente contaminada,,,65.1,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
DLMIC1554,RIO BALSAS 8,BALSAS,MICHOACÁN DE OCAMPO,LÁZARO CÁRDENAS,RÍO BAJO BALSAS,RIO BALSAS,LÓTICO,RÍO,-102.18533,18.02992,2022,<2,Excelente,24.54,Aceptable,<10,Excelente,11000,Fuertemente contaminada,2100,Fuertemente contaminada,,,65.9,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
DLMIC1555,PRESA LA VILLITA 2,BALSAS,MICHOACÁN DE OCAMPO,LÁZARO CÁRDENAS,RÍO BAJO BALSAS,PRESA LA VILLITA,LÉNTICO (HUMEDAL),PRESA,-102.18127,18.04874,2022,<2,Excelente,29.13,Aceptable,<10,Excelente,<3,Excelente,<3,Excelente,,,,,67.9,Buena calidad,62.7,Buena calidad,57.1,Buena calidad,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLMIC1559W1,PRESA LA VILLITA 5,BALSAS,MICHOACÁN DE OCAMPO,LAZARO CARDENAS,RÍO BAJO BALSAS,PRESA LA VILLITA,LÉNTICO,PRESA,-102.18208,18.06711,2022,<2,Excelente,28.71,Aceptable,<10,Excelente,<3,Excelente,<3,Excelente,,,,,67.2,Buena calidad,64.3,Buena calidad,50.4,Buena calidad,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LOTICO
DLMIC1560M1,PRESA LA VILLITA CENTRO,BALSAS,MICHOACÁN DE OCAMPO,LÁZARO CÁRDENAS,RÍO BAJO BALSAS,PRESA LA VILLITA,LÉNTICO (HUMEDAL),PRESA,-102.181531,18.054795,2022,<2,Excelente,30.38,Aceptable,<10,Excelente,<3,Excelente,<3,Excelente,,,,,60.4,Buena calidad,57.8,Buena calidad,47.4,Aceptable,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLMIC1561,RIO BALSAS 11,BALSAS,GUERRERO,LA UNIÓN DE ISIDORO MONTES DE OCA,RÍO BAJO BALSAS,RIO BALSAS,LÓTICO (HUMEDAL),RÍO,-102.17762,18.11738,2022,<2,Excelente,26.21,Aceptable,<10,Excelente,90,Excelente,<3,Excelente,,,50.1,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LOTICO
DLMIC1562W1,RIO BALSAS 12 BIS,BALSAS,MICHOACÁN DE OCAMPO,LAZARO CARDENAS,RÍO BAJO BALSAS,PRESA LA VILLITA,LÉNTICO,PRESA,-102.17062,18.13686,2022,<2,Excelente,31.63,Aceptable,<10,Excelente,230,Aceptable,<3,Excelente,,,,,63.4,Buena calidad,56.9,Buena calidad,51.8,Buena calidad,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLMIC1563,RIO BALSAS 12,BALSAS,MICHOACÁN DE OCAMPO,LÁZARO CÁRDENAS,RÍO BAJO BALSAS,RIO  BALSAS,LÓTICO (HUMEDAL),RÍO,-102.16287,18.14748,2022,<2,Excelente,29.96,Aceptable,<10,Excelente,40,Excelente,<3,Excelente,,,55.1,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LOTICO
DLMIC1564,RIO BALSAS 13,BALSAS,MICHOACÁN DE OCAMPO,LÁZARO CÁRDENAS,RÍO BAJO BALSAS,RIO BALSAS,LÓTICO (HUMEDAL),RÍO,-102.15872,18.1672,2022,<2,Excelente,27.04,Aceptable,<10,Excelente,230,Aceptable,90,Excelente,,,57.7,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LOTICO
DLMIC1565,PRESA LA VILLITA 5,BALSAS,MICHOACÁN DE OCAMPO,LÁZARO CÁRDENAS,RÍO BAJO BALSAS,PRESA LA VILLITA,LÉNTICO,PRESA,-102.15715,18.1672,2022,<2,Excelente,25.79,Aceptable,<10,Excelente,40,Excelente,<3,Excelente,,,,,68.2,Buena calidad,62.8,Buena calidad,52.5,Buena calidad,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLMIC1566,RIO BALSAS 14,BALSAS,MICHOACÁN DE OCAMPO,LÁZARO CÁRDENAS,RÍO BAJO BALSAS,RIO BALSAS,LÓTICO (HUMEDAL),RÍO,-102.1316,18.18982,2022,<2,Excelente,28.29,Aceptable,<10,Excelente,230,Aceptable,40,Excelente,,,52.7,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LOTICO
DLMIC1567,RIO BALSAS 15,BALSAS,MICHOACÁN DE OCAMPO,ARTEAGA,RÍO BAJO BALSAS,RIO BALSAS,LÓTICO (HUMEDAL),RÍO,-102.07014,18.19431,2022,<2,Excelente,29.54,Aceptable,<10,Excelente,230,Aceptable,90,Excelente,,,52.8,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LOTICO
DLMIC1568,RIO BALSAS 16,BALSAS,GUERRERO,LA UNIÓN DE ISIDORO MONTES DE OCA,RÍO BAJO BALSAS,RIO BALSAS,LÓTICO (HUMEDAL),RÍO,-102.0088,18.20429,2022,<2,Excelente,16.63,Buena calidad,<10,Excelente,230,Aceptable,40,Excelente,,,57.3,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LOTICO
DLMIC1569,RIO BALSAS 17,BALSAS,GUERRERO,LA UNIÓN DE ISIDORO MONTES DE OCA,RÍO BAJO BALSAS,RIO BALSAS,LÓTICO (HUMEDAL),RÍO,-101.95994,18.22991,2022,<2,Excelente,19.96,Buena calidad,<10,Excelente,230,Aceptable,90,Excelente,,,50.3,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LOTICO
DLMIC1570,RIO BALSAS 18,BALSAS,MICHOACÁN DE OCAMPO,ARTEAGA,RÍO BAJO BALSAS,RIO BALSAS,LÓTICO (HUMEDAL),RÍO,-101.90675,18.24628,2022,<2,Excelente,18.29,Buena calidad,<10,Excelente,430,Aceptable,230,Buena calidad,,,52.9,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LOTICO
DLMIC1571,RIO BALSAS 19,BALSAS,MICHOACÁN DE OCAMPO,ARTEAGA,RÍO BAJO BALSAS,RIO BALSAS,LÓTICO (HUMEDAL),RÍO,-101.90667,18.26283,2022,<2,Excelente,29.96,Aceptable,<10,Excelente,4600,Contaminada,2400,Fuertemente contaminada,,,66.5,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
DLMIC1572,PRESA INFIERNILLO 2,BALSAS,MICHOACÁN DE OCAMPO,ARTEAGA,RÍO BAJO BALSAS,PRESA INFIERNILLO 2,LÉNTICO,PRESA,-101.903163,18.268186,2022,<2,Excelente,43.71,Contaminada,<10,Excelente,430,Aceptable,150,Buena calidad,,,,,63.8,Buena calidad,,,62.5,Buena calidad,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Rojo,"DQO,",SI,NO,SI,SI,SI,ND,SI,SI,LENTICO
DLMIC1573,RIO BALSAS 21,BALSAS,MICHOACÁN DE OCAMPO,ARTEAGA,RÍO BAJO BALSAS,RIO BALSAS,LÓTICO (HUMEDAL),RÍO,-101.90208,18.2692,2022,<2,Excelente,32.04,Aceptable,<10,Excelente,40,Excelente,<3,Excelente,,,66.7,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LOTICO
DLMIC1574,RIO BALSAS 22,BALSAS,MICHOACÁN DE OCAMPO,ARTEAGA,RÍO BAJO BALSAS,RIO BALSAS,LÓTICO (HUMEDAL),RÍO,-101.899161,18.27455,2022,<2,Excelente,34.54,Aceptable,<10,Excelente,140,Buena calidad,90,Excelente,,,68.3,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LOTICO
DLMIC1575,PRESA INFIERNILLO 3,BALSAS,GUERRERO,COAHUAYUTLA DE JOSÉ MARÍA IZAZAGA,RÍO BAJO BALSAS,PRESA INFIERNILLO,LÉNTICO,PRESA,-101.89285,18.26888,2022,<2,Excelente,27.04,Aceptable,<10,Excelente,90,Excelente,40,Excelente,,,,,67.7,Buena calidad,,,61.3,Buena calidad,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLMIC1577,PRESA INFIERNILLO 7,BALSAS,GUERRERO,COAHUAYUTLA DE JOSÉ MARÍA IZAZAGA,RÍO BAJO BALSAS,PRESA INFIERNILLO,LÉNTICO (HUMEDAL),PRESA,-101.85149,18.25658,2022,<2,Excelente,31.21,Aceptable,<10,Excelente,140,Buena calidad,90,Excelente,,,,,80.7,Excelente,77.2,Excelente,19.4,Contaminada,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Amarillo,"OD%F,",SI,SI,SI,SI,SI,ND,NO,SI,LENTICO
DLMIC1580,PRESA INFIERNILLO 1,BALSAS,MICHOACÁN DE OCAMPO,ARTEAGA,RÍO BAJO BALSAS,PRESA INFIERNILLO,LÉNTICO (HUMEDAL),PRESA,-101.891104,18.419752,2022,<2,Excelente,33.29,Aceptable,<10,Excelente,<3,Excelente,<3,Excelente,,,,,87.2,Excelente,84.8,Excelente,31.5,Aceptable,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLMIC1581,PRESA INFIERNILLO 4,BALSAS,MICHOACÁN DE OCAMPO,ARTEAGA,RÍO BAJO BALSAS,PRESA INFIERNILLO,LÉNTICO (HUMEDAL),PRESA,-101.911028,18.433722,2022,<2,Excelente,29.96,Aceptable,<10,Excelente,<3,Excelente,<3,Excelente,,,,,83.8,Excelente,79.3,Excelente,36.7,Aceptable,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLMIC1582,RIO BALSAS 6,BALSAS,GUERRERO,LA UNIÓN DE ISIDORO MONTES DE OCA,RÍO BAJO BALSAS,RIO BALSAS,LÓTICO,RÍO,-102.18008,18.00375,2022,<2,Excelente,28.71,Aceptable,<10,Excelente,930,Aceptable,430,Buena calidad,,,60.4,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LOTICO
DLMIC1583,RIO BALSAS 4,BALSAS,GUERRERO,LA UNIÓN DE ISIDORO MONTES DE OCA,RÍO BAJO BALSAS,RIO BALSAS,LÓTICO,RÍO,-102.15885,17.98179,2022,<2,Excelente,29.54,Aceptable,<10,Excelente,390,Aceptable,230,Buena calidad,,,57.7,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LOTICO
DLMIC1584,RIO BALSAS 2,BALSAS,MICHOACÁN DE OCAMPO,LÁZARO CÁRDENAS,RÍO BAJO BALSAS,RIO BALSAS,LÓTICO - COSTERO (HUMEDAL),RÍO,-102.16969,17.9495,2022,,,,,<10,Excelente,218,Aceptable,,,10,Excelente,,,121.8,Aceptable,114.5,Buena calidad,99,Excelente,,,,,,,,,<1,No Toxico,<1,No Toxico,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
DLMIC1585,RIO BALSAS CORRIENTE IZQUIERDA - ALBATROS,BALSAS,MICHOACÁN DE OCAMPO,LÁZARO CÁRDENAS,RÍO BAJO BALSAS,RIO BALSAS CORRIENTE IZQUIERDA - ALBATROS,LÓTICO - COSTERO (HUMEDAL),RÍO,-102.18521,17.93875,2022,<2,Excelente,43.29,Contaminada,<10,Excelente,24000,Fuertemente contaminada,24000,Fuertemente contaminada,,,64.2,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,CF,E_COLI,",SI,NO,SI,NO,NO,ND,SI,SI,COSTERO
DLMIC1590,RIO LERMA 18,LERMA SANTIAGO PACÍFICO,MICHOACÁN DE OCAMPO,BRISEÑAS,RÍO LERMA 7,RIO LERMA,LÓTICO (HUMEDAL),RÍO,-102.61965,20.23788,2022,11.1,Aceptable,42.03,Contaminada,20.1,Excelente,5172,Contaminada,199,Buena calidad,,,33.6,Aceptable,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,CF,",SI,NO,SI,NO,SI,ND,SI,SI,LOTICO
DLMIC1592,RIO DUERO 2,LERMA SANTIAGO PACÍFICO,MICHOACÁN DE OCAMPO,VISTA HERMOSA,RÍO LERMA 7,RIO DUERO,LÓTICO A - TIPO 9,RÍO,-102.53263,20.24359,2022,14.3,Aceptable,18.39,Buena calidad,27.4,Buena calidad,24196,Fuertemente contaminada,12033,Fuertemente contaminada,,,39.4,Aceptable,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
DLMIC1595,RIO LERMA 56,LERMA SANTIAGO PACÍFICO,MICHOACÁN DE OCAMPO,TANHUATO,RÍO LERMA 7,RIO LERMA,LÓTICO,RÍO,-102.34962,20.33493,2022,9.2,Aceptable,56.31,Contaminada,300,Contaminada,20980,Fuertemente contaminada,8200,Fuertemente contaminada,,,58.6,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,SST,CF,E_COLI,",SI,NO,NO,NO,NO,ND,SI,SI,LOTICO
DLMIC1596,RIO LERMA 57,LERMA SANTIAGO PACÍFICO,MICHOACÁN DE OCAMPO,TANHUATO,RÍO LERMA 7,RIO LERMA,LÓTICO,RÍO,-102.34568,20.335,2022,25.4,Aceptable,53.23,Contaminada,305,Contaminada,48840,Fuertemente contaminada,19040,Fuertemente contaminada,,,55.3,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,SST,CF,E_COLI,",SI,NO,NO,NO,NO,ND,SI,SI,LOTICO
DLMIC1598,YURECUARO,LERMA SANTIAGO PACÍFICO,JALISCO,AYOTLÁN,RÍO LERMA 7,RIO LERMA,LÓTICO,RÍO,-102.28093,20.34488,2022,19.1,Aceptable,63.23,Contaminada,477.5,Fuertemente contaminada,34480,Fuertemente contaminada,10860,Fuertemente contaminada,,,52.9,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,SST,CF,E_COLI,",SI,NO,NO,NO,NO,ND,SI,SI,LOTICO
DLMIC1606,RIO LERMA 40,LERMA SANTIAGO PACÍFICO,MICHOACÁN DE OCAMPO,NUMARÁN,RÍO LERMA 6,RIO LERMA,LÓTICO,RÍO,-101.92993,20.21702,2022,16.7,Aceptable,26.75,Aceptable,791.4,Fuertemente contaminada,241960,Fuertemente contaminada,193290,Fuertemente contaminada,,,62.4,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"SST,CF,E_COLI,",SI,SI,NO,NO,NO,ND,SI,SI,LOTICO
DLMIC1607,RIO LERMA 58,LERMA SANTIAGO PACÍFICO,GUANAJUATO,PÉNJAMO,RÍO LERMA 6,RIO LERMA,LÓTICO,RÍO,-101.966775,20.358361,2022,17.4,Aceptable,68.87,Contaminada,80.3,Aceptable,17329,Fuertemente contaminada,15531,Fuertemente contaminada,,,107.4,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,CF,E_COLI,",SI,NO,SI,NO,NO,ND,SI,SI,LOTICO
DLMIC1608,RIO LERMA 59,LERMA SANTIAGO PACÍFICO,MICHOACÁN DE OCAMPO,LA PIEDAD,RÍO LERMA 6,RIO LERMA,LÓTICO,RÍO,-101.96893,20.35996,2022,15.4,Aceptable,48.62,Contaminada,75.6,Aceptable,12590,Fuertemente contaminada,9600,Fuertemente contaminada,,,50.2,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,CF,E_COLI,",SI,NO,SI,NO,NO,ND,SI,SI,LOTICO
DLMIC1609,AGUA ARRIBA DE LA PIEDAD,LERMA SANTIAGO PACÍFICO,MICHOACÁN DE OCAMPO,LA PIEDAD,RÍO LERMA 6,RIO LERMA,LÓTICO,RÍO,-101.98269,20.35879,2022,16.7,Aceptable,72.62,Contaminada,159.8,Contaminada,68670,Fuertemente contaminada,64880,Fuertemente contaminada,,,41.8,Aceptable,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,SST,CF,E_COLI,",SI,NO,NO,NO,NO,ND,SI,SI,LOTICO
DLMIC1614,AGUA ABAJO DE LA PIEDAD (CASETA DE COBRO),LERMA SANTIAGO PACÍFICO,MICHOACÁN DE OCAMPO,LA PIEDAD,RÍO LERMA 6,RIO LERMA,LÓTICO,RÍO,-102.02359,20.35283,2022,12,Aceptable,48.51,Contaminada,78.7,Aceptable,24196,Fuertemente contaminada,24196,Fuertemente contaminada,,,16.3,Contaminada,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,CF,E_COLI,OD%L,",SI,NO,SI,NO,NO,ND,NO,SI,LOTICO
DLMIC1617,RIO LERMA 62,LERMA SANTIAGO PACÍFICO,MICHOACÁN DE OCAMPO,LA PIEDAD,RÍO LERMA 6,RIO LERMA,LÓTICO,RÍO,-102.09684,20.38389,2022,17.4,Aceptable,37.33,Aceptable,10.1,Excelente,14136,Fuertemente contaminada,2187,Fuertemente contaminada,,,83.4,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
DLMIC1618,RIO LERMA 61,LERMA SANTIAGO PACÍFICO,MICHOACÁN DE OCAMPO,LA PIEDAD,RÍO LERMA 6,RIO LERMA,LÓTICO,RÍO,-102.17366,20.36846,2022,18.1,Aceptable,21.74,Aceptable,30.3,Buena calidad,5794,Contaminada,373,Buena calidad,,,82.2,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
DLMIC1619,RIO LERMA 60,LERMA SANTIAGO PACÍFICO,MICHOACÁN DE OCAMPO,LA PIEDAD,RÍO LERMA 6,RIO LERMA,LÓTICO,RÍO,-102.17757,20.36581,2022,37.4,Contaminada,110.15,Contaminada,1485.7,Fuertemente contaminada,155310,Fuertemente contaminada,141360,Fuertemente contaminada,,,94,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DBO,DQO,SST,CF,E_COLI,",NO,NO,NO,NO,NO,ND,SI,SI,LOTICO
DLMIC1620,RIO COAHUAYANA SAN VICENTE,LERMA SANTIAGO PACÍFICO,MICHOACÁN DE OCAMPO,COAHUAYANA,COAHUAYANA 2,RIO COAHUAYANA,LÓTICO,RÍO,-103.70248,18.74231,2022,15.7,Aceptable,19.23,Buena calidad,262.3,Contaminada,15390,Fuertemente contaminada,1600,Fuertemente contaminada,,,82,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"SST,CF,E_COLI,",SI,SI,NO,NO,NO,ND,SI,SI,LOTICO
DLMIC1621,RIO COAHUAYANA 3,LERMA SANTIAGO PACÍFICO,COLIMA,TECOMÁN,COAHUAYANA 2,RIO COAHUAYANA,LÓTICO (HUMEDAL),RÍO,-103.71364,18.72404,2022,15.2,Aceptable,64.77,Contaminada,323.7,Contaminada,17930,Fuertemente contaminada,2560,Fuertemente contaminada,,,82,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,SST,CF,E_COLI,",SI,NO,NO,NO,NO,ND,SI,SI,LOTICO
DLMIC1622,PUENTE COHUAYANA,LERMA SANTIAGO PACÍFICO,MICHOACÁN DE OCAMPO,COAHUAYANA,COAHUAYANA 2,RIO COAHUAYANA,LÓTICO (HUMEDAL),RÍO,-103.71597,18.71725,2022,14.8,Aceptable,19.23,Buena calidad,388.7,Contaminada,17850,Fuertemente contaminada,2690,Fuertemente contaminada,,,91.4,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"SST,CF,E_COLI,",SI,SI,NO,NO,NO,ND,SI,SI,LOTICO
DLMIC1624,DESEMBOCADURA  RIO COAHUAYANA 2,LERMA SANTIAGO PACÍFICO,COLIMA,TECOMÁN,COAHUAYANA 2,TRANSICION RIO - MAR,LÓTICO - COSTERO,BAHIA,-103.7386,18.6852,2022,<2,Excelente,<10,Excelente,530.5,Fuertemente contaminada,48840,Fuertemente contaminada,4080,Fuertemente contaminada,,,62.9,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"SST,CF,E_COLI,",SI,SI,NO,NO,NO,ND,SI,SI,COSTERO
DLMIC1636,RODILLA DEL DIABLO,BALSAS,MICHOACÁN DE OCAMPO,URUAPAN,RÍO CUPATITZIO,RIO CUPATITZIO,LÓTICO,RÍO,-102.07491,19.42975,2022,<2,Excelente,<10,Excelente,<10,Excelente,1467,Contaminada,813,Aceptable,,,101.8,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
DLMIC1649,LA PASTORIA (CUPATITZIO),BALSAS,MICHOACÁN DE OCAMPO,LA HUACANA,RÍO CUPATITZIO,RIO EL MARQUEZ,LÓTICO (HUMEDAL),RÍO,-102.0591,18.93365,2022,<2,Excelente,<10,Excelente,<10,Excelente,578,Aceptable,63,Excelente,,,101.6,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LOTICO
DLMIC1664,RIO LERMA 49,LERMA SANTIAGO PACÍFICO,MICHOACÁN DE OCAMPO,JOSÉ SIXTO VERDUZCO,RÍO LERMA 5,RIO LERMA,LÓTICO,RÍO,-101.46092,20.32511,2022,23.5,Aceptable,41.44,Contaminada,119.8,Aceptable,14136,Fuertemente contaminada,8664,Fuertemente contaminada,,,41.1,Aceptable,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,CF,E_COLI,",SI,NO,SI,NO,NO,ND,SI,SI,LOTICO
DLMIC1667,RIO LERMA 47,LERMA SANTIAGO PACÍFICO,MICHOACÁN DE OCAMPO,JOSÉ SIXTO VERDUZCO,RÍO LERMA 5,RIO LERMA,LÓTICO,RÍO,-101.585838,20.315041,2022,23.7,Aceptable,51.51,Contaminada,67.9,Buena calidad,24196,Fuertemente contaminada,6131,Fuertemente contaminada,,,71,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,CF,E_COLI,",SI,NO,SI,NO,NO,ND,SI,SI,LOTICO
DLMIC1669,RIO LERMA 22,LERMA SANTIAGO PACÍFICO,MICHOACÁN DE OCAMPO,JOSÉ SIXTO VERDUZCO,RÍO LERMA 5,RIO LERMA,LÓTICO,RÍO,-101.62704,20.30713,2022,15.7,Aceptable,21.84,Aceptable,73.7,Buena calidad,24196,Fuertemente contaminada,24196,Fuertemente contaminada,,,65.6,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
